"customer_id","customer_count"
10005,3
10008,1
10025,1
10046,1
10069,1
10097,1
10102,1
10107,1
10124,1
10142,1
10157,1
10164,4
10171,1
10190,5
10220,1
10227,7
10228,2
10272,1
10273,1
10285,1
10286,1
10293,1
10316,2
10334,1
10343,2
10346,2
10352,1
10369,3
10407,1
10425,1
10432,1
10446,1
10449,2
10456,1
10464,1
10467,1
10470,1
10477,1
10482,4
10494,1
10499,1
10505,2
10521,1
10528,1
10545,1
10562,1
10564,1
10567,1
10584,1
10596,1
10603,7
10626,1
10630,1
10637,8
10677,1
10697,1
10702,2
10728,1
10730,2
10731,1
10742,1
10771,1
10798,1
10813,1
10814,1
10821,1
10822,1
10857,1
10870,1
10877,1
10880,1
10882,1
10906,1
10947,4
10963,3
10970,2
10976,1
10981,5
11001,1
11015,1
11023,1
11048,1
11067,2
11076,1
11096,1
11102,1
11106,1
11134,1
11174,1
11175,1
11184,10
11193,1
11206,2
11220,1
11228,1
11243,1
11273,4
11323,2
11345,1
11363,1
