"review_id","customer_id","product_id","product_parent","review_date"
"R10000DR28BLH2",9925437,"B004NKY23E",291212538,"2015-06-18"
"R10000LN0TDTYV",34450301,"B00J1VV792",498586878,"2015-02-07"
"R10001DFHP3GVL",29088280,"B008N0K84C",85821536,"2014-01-28"
"R100036BV7RBXY",48459915,"B0097L6KMK",402301263,"2015-08-08"
"R10005QOOMIE58",24483097,"B005CSYUQU",564093036,"2013-10-19"
"R100061N411XQJ",9978594,"B003TWZGRI",681696072,"2012-11-28"
"R10006OVBR7BHO",20866351,"B00O98UQ4Y",338084286,"2015-01-10"
"R10007IQXO1QS4",51672328,"B00F1WREWY",210111932,"2014-06-15"
"R10008AA6TR5D7",36223286,"B00DI740US",926439365,"2014-01-05"
"R10008DSNOQ97H",37931419,"B00162UHKO",574533977,"2015-04-11"
"R10009GL6PAAAW",4877998,"B0059MN72W",971531492,"2014-08-02"
"R1000BRUIZ0XIA",31391735,"B0021TOPPY",917398095,"2011-08-29"
"R1000D9HGRKAPX",18310783,"B000ALJHTO",814913134,"2015-04-06"
"R1000GAQ08T5D8",1487909,"B000F8VUH4",561129802,"2014-07-21"
"R1000JU5Z7XLD0",7318743,"B0006SDBPW",239508428,"2015-08-07"
"R1000L0BPH0JOZ",24569286,"B00CH4RRV2",257048808,"2015-08-21"
"R1000NHZW9G4HJ",14363837,"B002VCX90S",186516958,"2014-11-10"
"R1000NZT1OGJBR",16969210,"B001BOPHHU",570725617,"2015-04-14"
"R1000QQJA57CHT",26598904,"B004YPU250",213808002,"2015-01-07"
"R1000RZ5SJGZAW",11952265,"B00GOFKPZK",671031457,"2014-04-17"
"R1000SYUH94GSJ",45003349,"B00306V3OI",756334,"2015-04-29"
"R1000TVF11Y1L7",28442713,"B00BNPEOJY",626033227,"2013-09-23"
"R1000WQC6KD66R",11828635,"B0000E0VQX",125629978,"2012-12-05"
"R1000X4TSP4JZN",43549466,"B009CLMVIM",920602755,"2014-07-08"
"R1000X5H7BS05W",9652516,"B00L65FNAK",103535028,"2014-06-23"
"R10010DAURMYHV",28580053,"B004Q74ZWM",543872139,"2011-09-18"
"R10013EWZQI5LZ",16252318,"B000H4PKF4",360331100,"2013-06-04"
"R10013GP2IQLHL",15877519,"B0083W89FK",522539794,"2014-08-29"
"R10013HWV8OZPY",42900184,"B00AWE34GG",180481075,"2014-09-01"
"R10014ADR9TX0Y",13042708,"B003DQZNKK",771950558,"2012-12-07"
"R10014L3W5JSYL",506104,"B00H447OHM",806412409,"2015-07-14"
"R10016E6O0GY8P",16469090,"B000JC2ZGQ",612721418,"2008-05-29"
"R100175CS839AA",47101547,"B0000365RR",649693239,"2008-12-29"
"R10017Z77EKMQQ",45948305,"B00480BLT2",426630982,"2013-10-23"
"R1001831HFA242",12902429,"B000798IMQ",204253496,"2014-03-26"
"R10018FRF4SF0F",26625214,"B004RJBFM2",478750576,"2013-02-07"
"R10018PLRUTXVC",22431469,"B002CC6BPM",896986190,"2015-04-08"
"R1001BQNIP0DLH",1462746,"B000B8L6NG",629916221,"2015-07-21"
"R1001DMK8J99WV",38964316,"B00H0IFIMU",246761040,"2013-12-27"
"R1001DWCBKRYSV",52973320,"B00L0LV7GE",470377797,"2015-05-23"
"R1001DYT4MP3X0",41285752,"B001DAYFXY",473230971,"2013-01-15"
"R1001EL48QZD5T",10718512,"B001AP5HWK",262531352,"2015-06-19"
"R1001FSC2ZWXTB",29264669,"B002RJURSM",459748076,"2015-01-13"
"R1001FSVEQ2ABJ",33000261,"B00RW8HVYG",121951908,"2015-05-06"
"R1001FYHVYFXLL",20207119,"B004LZDKO8",739195540,"2012-04-01"
"R1001KMIQ8672",16696120,"B008XK20CK",801241248,"2014-09-03"
"R1001L4N01OG25",35143712,"B002SF6QQW",326157602,"2014-10-15"
"R1001MZV6NF1RW",10657510,"B000TVY830",259053698,"2012-09-28"
"R1001P5X8CJ97M",44203391,"B00T47L31U",89119617,"2015-06-08"
"R1001RSEO4TBVW",52587063,"B0014VX69Q",911970286,"2014-11-27"
"R1001S68JO359J",41392718,"B007ZZOC1G",778966264,"2015-03-06"
"R1001SP7H3LLUN",24968471,"B00G5VFZ2G",800470163,"2014-05-21"
"R1001SQ1XKFW2K",47786227,"B00DWZGDS8",566570430,"2013-11-22"
"R1001T2CSTX8ME",40381544,"B00C88FYW6",919832978,"2015-03-07"
"R1001T2ZY19K9E",39679626,"B00J8GVZFG",923538182,"2014-11-03"
"R1001UQCHOT2CN",30231117,"B007DLVLDY",59327699,"2015-01-01"
"R1001VBCUIXUS1",13184782,"B001CHEVL4",196550555,"2009-01-20"
"R1001VFMM2PPGH",47024966,"B002Z9NLIC",310120752,"2015-04-16"
"R1001VK62QQD93",15292394,"B00B7SICQI",348406016,"2013-10-17"
"R1001ZWR8HW5NA",43566891,"B003OQ29XS",650735029,"2015-05-01"
"R10020CXVIWARR",22098371,"B003YB83JM",913466422,"2013-01-28"
"R10021PGCK2NCV",24313962,"B0085TX43S",336620824,"2013-01-04"
"R100234D83E19P",1973856,"B00ONBEO3G",118830937,"2015-04-07"
"R10023HJHRHG4F",13598712,"B003VCEDJS",769472758,"2012-05-07"
"R10023MMJLSINL",1882225,"B00457SRBI",461632078,"2015-07-02"
"R10024GNUQU9O1",31284295,"B00H5AWX3K",341045280,"2014-12-05"
"R10024LR3XRRK9",25589141,"B00HA2ZKFQ",997278452,"2014-04-30"
"R10024WGVF9XQA",13059646,"B0000AY4QY",106435916,"2012-11-01"
"R1002506TLMMNS",14215906,"B00KNR41YQ",655049374,"2014-06-24"
"R100255KBL87KF",19933290,"B005V0168O",602285156,"2013-10-06"
"R10025MAWYRSAW",10170577,"B00097DFRE",440437567,"2014-06-16"
"R10026D8MQOHR6",24380497,"B001QDR2TC",279569943,"2013-09-26"
"R10027MR0DYWM5",16237987,"B00IC5I7NM",494671407,"2015-06-25"
"R10029C1UB6ZFX",22326858,"B004QCDCZS",881716718,"2013-12-26"
"R1002A584RB7AR",51353128,"B0011UDPCS",709064871,"2014-03-16"
"R1002CKHI2UQDE",4549378,"B000VZ1R4M",242724537,"2013-06-01"
"R1002DNFJLP3AI",42854,"B00HPQ22XK",845220278,"2015-08-28"
"R1002ETPF6KK1K",10538692,"B009PPENKE",806630137,"2014-11-30"
"R1002EYEG21JLZ",3927880,"B003CHANLO",154304555,"2013-09-23"
"R1002G8OJER9BG",10175727,"B00NSG9I7O",344834028,"2015-03-08"
"R1002GH1Q9M98M",46215405,"B0068FVMTY",732941609,"2013-03-11"
"R1002IDT34USH7",26666345,"B004UOVBAU",64544435,"2012-10-15"
"R1002JSJ0F3YY5",10547023,"B0058O43J2",384946921,"2013-10-02"
"R1002K05EFS8B4",50051002,"B001E8PPM0",272044602,"2015-02-18"
"R1002L266YURC7",25735670,"B002Y1PCRO",534945867,"2014-07-11"
"R1002N1TDGS0BS",31332178,"B0000AVCKU",88391556,"2015-01-15"
"R1002N4SZA9QLW",12805342,"B002E6R6B4",732876810,"2013-05-05"
"R1002NNS151YVH",24345809,"B000UVTDLG",862562677,"2011-07-17"
"R1002OCB4TDZPG",51842042,"B000PW9FD6",131531865,"2014-05-17"
"R1002SIYUL28B3",50152017,"B00KGUPX4M",364030328,"2015-04-05"
"R1002TUJNJH28S",47755557,"B003RYD8BE",640608363,"2015-06-07"
"R1002TZS0PIYNA",52422041,"B008C84GKW",936785155,"2014-01-07"
"R1002UHQPNGS0U",13551757,"B00A36MKUO",647050012,"2015-02-09"
"R1002UZAJUEYOE",4080947,"B0028JNRW4",770849086,"2015-08-30"
"R1002V9U0MZ589",26188780,"B008C2OZKY",214364264,"2014-01-16"
"R1002VJ8ODY0UW",10263775,"B00A3MFIFM",441409925,"2015-01-09"
"R1002VK6U2OUAN",19878471,"B004DH65RI",894253276,"2015-03-11"
"R10030II4B8I2L",25056450,"B00F57K2FQ",98043064,"2013-10-30"
"R10031Z68QB22B",1811348,"B0094BEPFW",275625346,"2014-12-02"
"R10032TF6GBBMC",23448085,"B007595TKU",326071070,"2015-03-06"
